Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,http://protege.stanford.edu/plugins/owl/protege#defaultLanguage,http://purl.obolibrary.org/obo/IAO_0000118#alternative_name,http://purl.obolibrary.org/obo/IAO_0000119#formal_citation
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Middle_Class,Middle Class,,"",false,,,http://www.w3.org/2002/07/owl#Thing,"",Bourgeois,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Teacher_Effectiveness,Teacher Effectiveness,,"The extent to which teachers effectively achieve their objectives, obligations, or functions.",false,,,http://www.w3.org/2002/07/owl#Thing,"",,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Hypersomnia,Hypersomnia,,Excessive sleepiness.,false,,,http://www.w3.org/2002/07/owl#Thing,"",,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Complications_(Disorders),Complications (Disorders),,Undesirable effects resulting from a secondary disease or conditions arising during the course of or as a consequence of another disease. (See COMORBIDITY),false,,,http://www.w3.org/2002/07/owl#Thing,"",,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Aviation_Safety,Aviation Safety,,"",false,,,http://www.w3.org/2002/07/owl#Thing,"",,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Pigeons,Pigeons,,"",false,,,http://www.w3.org/2002/07/owl#Thing,"",,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Autoshaping,Autoshaping,,"Learned behavior or the experimental paradigm
involving a Pavlovian pairing of a reinforcer and
a stimulus independent of the subject's behavior
until the subject makes a response to the
stimulus. At that point the reinforcer is made
contingent on the acquired response to the
stimulus, thereby bringing the response under
operant control.",false,,,http://www.w3.org/2002/07/owl#Thing,"",,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Medial_Forebrain_Bundle,Medial Forebrain Bundle,,"Complex group of nerve fibers arising from basal
olfactory regions, the periamygdaloid region, and
the septal nuclei passing to, and through, the
lateral preoptic and hypothalamic regions. This
bundle provides the chief pathway for reciprocal
connections between the hypothalamus and the
biogenic amine systems of the brain stem.",false,,,http://www.w3.org/2002/07/owl#Thing,"",,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Perceptual_Aftereffect,Perceptual Aftereffect,,"Subjective perceptual alterations resulting from
prolonged exposure to preceding sensory
stimulation.",false,,,http://www.w3.org/2002/07/owl#Thing,"",Aftereffect (Perceptual),"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
http://ontology.apa.org/apaonto/termsonlyOUT%20(5).owl#Terminally_Ill_Patients,Terminally Ill Patients,,"",false,,,http://www.w3.org/2002/07/owl#Thing,"",Dying Patients,"
						Thesaurus of Psychological Index Terms Edited by Ian
						Galloway Published by American Psychological Association 2014
					"
