Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,_is_used_in_algorithm,_uses_technique,application_generates,applied_algorithm_has_input,bearer_of,correlates_with,decreased_in_magnitude_relative_to,definition,describes,different_in_magnitude_relative_to,directly_associated_with,empirically_validates,equation_is_part_of,function_of,generated_by_applying,has part,has_about,has_boolean_quality,has_constant,has_contentMathML,has_cross_section,has_disposition,has_dividend_entity,has_dividend_quality,has_divisor_entity,has_divisor_quality,has_endianity,has_enhanced_presentationMathML,has_function,has_input,has_invasiveness,has_latex_math,has_measurement_unit_label,has_output,has_parameter,has_part,has_part_equation,has_part_simstep,has_participant,has_policy,has_quality,has_quantitative_quality,has_ratio_quality,has_raw_presentationMathML,has_relative_magnitude,has_role,has_time_point,has_time_span,has_value,has_variable,http://data.bioontology.org/metadata/obo/part_of,http://data.bioontology.org/metadata/prefixIRI,http://data.bioontology.org/metadata/treeView,http://purl.org/dc/elements/1.1/contributor,http://purl.org/dc/elements/1.1/creator,http://purl.org/dc/elements/1.1/date,http://purl.org/dc/elements/1.1/description,http://purl.org/dc/elements/1.1/format,http://purl.org/dc/elements/1.1/identifier,http://purl.org/dc/elements/1.1/language,http://purl.org/dc/elements/1.1/publisher,http://purl.org/dc/elements/1.1/rights,http://purl.org/dc/elements/1.1/source,http://purl.org/dc/elements/1.1/title,http://www.geneontology.org/formats/oboInOwl#auto-generated-by,http://www.geneontology.org/formats/oboInOwl#comment,http://www.geneontology.org/formats/oboInOwl#date,http://www.geneontology.org/formats/oboInOwl#def,http://www.geneontology.org/formats/oboInOwl#exact_synonym,http://www.geneontology.org/formats/oboInOwl#format-version,http://www.geneontology.org/formats/oboInOwl#hasDefinition,http://www.geneontology.org/formats/oboInOwl#hasSynonym,http://www.geneontology.org/formats/oboInOwl#narrow_synonym,http://www.geneontology.org/formats/oboInOwl#ObsoleteProperty,http://www.geneontology.org/formats/oboInOwl#related_synonym,http://www.geneontology.org/formats/oboInOwl#replacedBy,http://www.geneontology.org/formats/oboInOwl#saved-by,http://www.w3.org/2000/01/rdf-schema#comment,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.w3.org/2002/07/owl#topObjectProperty,http://www.w3.org/2002/07/owl#versionInfo,increased_in_magnitude_relative_to,inheres_in,inheres_in,initiates_process,inversely_associated_with,is_about,is_annotated_via,is_described_by,is_empirically_validated_by,is_initiated_by,is_input_of,is_input_of_applied,is_magnitude_of,is_mathematically_described_by,is_measurement_of,is_output_of,is_param_used_in,is_parameter,is_part_of,is_part_of_simulation,is_performed_by,is_performed_on,is_preceded_by,is_solved_using,is_unit_of,is_used_in,located_in,location_of,mathematically_describes,measurement_produces,part_of,participates_in,PMID,precedes,process_uses_param,quality_of,realized_by,reciprocal_of,searchable,similar_in_magnitude_relative_to,singly_occurring_form_of,solves_equation,towards,uses,value_calculated_using
http://purl.obolibrary.org/obo/CHEBI_17334,penicillin,penicillins|Penicillin,"Any member of the group of substituted penams containing two methyl substituents at position 2, a carboxylate substituent at position 3 and a carboxamido group at position 6.

source: http://purl.obolibrary.org/obo/CHEBI_17334",false,,,http://www.co-ode.org/ontologies/galen#Drug,,,,,,,,"Any member of the group of substituted penams containing two methyl substituents at position 2, a carboxylate substituent at position 3 and a carboxamido group at position 6.

source: http://purl.obolibrary.org/obo/CHEBI_17334",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,obolibrary:CHEBI_17334,,,,,,,,,,,http://purl.obolibrary.org/obo/CHEBI_17334,,,,,,penicillins|Penicillin,,,,,,,,,,,penicillin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20185923,,,,,,,,,,,,
http://purl.org/obo/owl/NCBITaxon#NCBITaxon_12066,Coxsackievirus,,"Coxsackievirus is a virus that belongs to a family of nonenveloped, linear, positive-sense ssRNA viruses, Picornaviridae and the genus Enterovirus, which also includes poliovirus and echovirus. Enteroviruses are among the most common and important human pathogens, and ordinarily its members are transmitted by the fecal-oral route. Coxsackieviruses share many characteristics with poliovirus. With control of poliovirus infections in much of the world, more attention has been focused on understanding the nonpolio enteroviruses such as coxsackievirus.

Coxsackieviruses are among the leading causes of aseptic meningitis, the other usual suspects are echovirus and mumps virus.

source: http://en.wikipedia.org/wiki/Coxsackievirus",false,,,http://purl.org/obo/owl/NCBITaxon#NCBITaxon_10239,,,,,,,,"Coxsackievirus is a virus that belongs to a family of nonenveloped, linear, positive-sense ssRNA viruses, Picornaviridae and the genus Enterovirus, which also includes poliovirus and echovirus. Enteroviruses are among the most common and important human pathogens, and ordinarily its members are transmitted by the fecal-oral route. Coxsackieviruses share many characteristics with poliovirus. With control of poliovirus infections in much of the world, more attention has been focused on understanding the nonpolio enteroviruses such as coxsackievirus.

Coxsackieviruses are among the leading causes of aseptic meningitis, the other usual suspects are echovirus and mumps virus.

source: http://en.wikipedia.org/wiki/Coxsackievirus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ncbitaxon:NCBITaxon_12066,,,,,,,,,,,http://purl.org/obo/owl/NCBITaxon#NCBITaxon_12066,,,,,,,,,,,,Coxsakievirus|pathogenic coxsackievirus B3|coxsackievirus B3|CVB3,,,,,Coxsackievirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18357766,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0000125,mass,,,false,,,http://purl.org/obo/owl/PATO#PATO_0001018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0000125,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0000125,,,,,,,,A physical quality that inheres in a bearer by virtue of the proportion of the bearer's amount of matter.,,,,,,,,,mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0000128,weight,,,false,,,http://purl.org/obo/owl/PATO#PATO_0001035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0000128,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0000128,,,,,,,,A physical quality inhering in a bearer that has mass near a gravitational body.,,,,molecular-weight,,,,,weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0000122,length,lengths,,false,,,http://purl.org/obo/owl/PATO#PATO_0001708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0000122,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0000122,,,,,,lengths,,A 1-D extent quality which is equal to the distance between two points.,,,,Ornstein-Zernike correlation length|physiological cycle lengths|correlation length|path length|instrument path length|diffusion length,,,,,length,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0002230,subtriangular,,,false,,,http://purl.org/obo/owl/PATO#PATO_0001875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002230,,,,,,,,,,,,,,,,,,,"A triangular shape quality inhering in a bearer by virtue of the bearer's being nearly, but not perfectly, triangular.",,,,,,,,,subtriangular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0002234,emarginate,,,false,,,http://purl.org/obo/owl/PATO#PATO_0001495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002234,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0002234,,,,,,,,A notched shape quality inhering in a bearer by virtue of the bearer's having a notched tip or edge.,,,,,,,,,emarginate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0002231,multifid,,,false,,,http://purl.org/obo/owl/PATO#PATO_0001786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002231,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0002231,,,,,,,,A split shape quality inhering in a bearer by virtue of the bearer's having or being divided into many lobes or similar segments.,,,,,,,,,multifid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0002233,far from,remote from|distant from,,false,,,http://purl.org/obo/owl/PATO#PATO_0000140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002233,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0002233,,,,,,remote from|distant from,,A spatial quality inhering in a bearer by virtue of the bearer's being located far (not close to) in space in relation to another entity.,,,,,,,,,far from,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://purl.org/obo/owl/PATO#PATO_0002232,semicircular,half circle|semicircle,,false,,,http://purl.org/obo/owl/PATO#PATO_0002006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pato:PATO_0002232,,,,,,,,,,,http://purl.org/obo/owl/PATO#PATO_0002232,,,,,,half circle|semicircle,,A 2-D shape quality inhering in a bearer by virtue of the bearer's having shape or form of half a circle.,,,,,,,,,semicircular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
